"File","Severity","Classification","Evidence","Lines","SizeBytes"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\core\businessCell.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","318","16508"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\016_advanced_ponds_iot.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","221","9944"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\035_multilingual_schema.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","317","14210"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\036_nutrition_intelligence_schema.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","336","14690"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\060_experience_layer_dxp.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","426","19771"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\067_poultry_management_schema.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","93","4187"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\068_goat_farming_schema.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","96","4230"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\069_sheep_farming_schema.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","101","4390"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\070_pig_farming_schema.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","96","4193"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\9997_geofencing.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","70","4315"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\9999_erp_foundation_seed.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","127","7293"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\multilingual_schema.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","309","13408"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\nutrition_intelligence_schema.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","312","12889"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\pool.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","2340","103154"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\seed.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","82","2715"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M001\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","89"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M002\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M003\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M004\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M005\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M006\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M007\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M008\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M009\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M010\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M011\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M014\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M016\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","90"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M018\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M019\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M020\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M034\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","90"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M035\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M037\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M038\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M039\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M041\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M046\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","90"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M049\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","102"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M051\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M059\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","90"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M061\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","89"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M062\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","89"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M063\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M064\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M065\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","89"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M066\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M067\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M068\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M069\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M070\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M074\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M075\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M076\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M077\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","100"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M078\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M079\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M080\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M083\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M087\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M088\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M089\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M095\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M096\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M097\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M101\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M102\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M103\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M104\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M105\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M107\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M108\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M109\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M110\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","102"
