IssueID,File,Line,Type,Link,Status,Recommendation
1,"loadMandiPrices.js",8,EXTERNAL_URL,"https://api.data.gov.in/resource/9ef84268-d588-465a-a308-a864a43d0070",POTENTIALLY_BROKEN,"VERIFY_ENDPOINT"
2,"loadMandiPrices.js",66,EXTERNAL_URL,"https://api.data.gov.in/resource/${RESOURCE}?${params}`",POTENTIALLY_BROKEN,"VERIFY_ENDPOINT"
3,"compliance.js",256,EXTERNAL_URL,"https://afrera.com/privacy",POTENTIALLY_BROKEN,"VERIFY_ENDPOINT"
4,"aiBackboneService.js",26,EXTERNAL_URL,"https://api.anthropic.com/v1",KNOWN_WORKING,"NO_ACTION"
5,"aiBackboneService.js",33,EXTERNAL_URL,"https://api.openai.com/v1",KNOWN_WORKING,"NO_ACTION"
6,"aiBackboneService.js",40,EXTERNAL_URL,"https://generativelanguage.googleapis.com/v1beta",KNOWN_WORKING,"NO_ACTION"
7,"aiBackboneService.js",54,EXTERNAL_URL,"https://api-inference.huggingface.co",KNOWN_WORKING,"NO_ACTION"
8,"authService.js",903,EXTERNAL_URL,"https://accounts.google.com/o/oauth2/v2/auth?client_id=${config.clientId}&redirect_uri=${encodeURIComponent(config.redirectUri",UNKNOWN,"MANUAL_VERIFICATION"
9,"authService.js",904,EXTERNAL_URL,"https://www.facebook.com/v18.0/dialog/oauth?client_id=${config.clientId}&redirect_uri=${encodeURIComponent(config.redirectUri",UNKNOWN,"MANUAL_VERIFICATION"
10,"authService.js",1017,EXTERNAL_URL,"https://oauth2.googleapis.com/token",KNOWN_WORKING,"NO_ACTION"
11,"authService.js",1018,EXTERNAL_URL,"https://graph.facebook.com/v18.0/oauth/access_token",UNKNOWN,"MANUAL_VERIFICATION"
12,"authService.js",1022,EXTERNAL_URL,"https://www.googleapis.com/oauth2/v2/userinfo",KNOWN_WORKING,"NO_ACTION"
13,"authService.js",1023,EXTERNAL_URL,"https://graph.facebook.com/me?fields=id,email,first_name,last_name",UNKNOWN,"MANUAL_VERIFICATION"
