Type,File,Line,Issue,Severity
BROKEN_REQUIRE,redis.js,7,../utils/logger,HIGH
BROKEN_REQUIRE,aiBackboneController.js,8,../services/aiBackboneService,HIGH
BROKEN_REQUIRE,aiBackboneController.js,9,../utils/logger,HIGH
BROKEN_REQUIRE,bulkOrderController.js,6,../services/bulkOrderService,HIGH
BROKEN_REQUIRE,bulkOrderController.js,7,../utils/logger,HIGH
BROKEN_REQUIRE,completeAIIntegrationController.js,8,../services/completeAIIntegrationService,HIGH
BROKEN_REQUIRE,completeAIIntegrationController.js,9,../utils/logger,HIGH
BROKEN_REQUIRE,completeERPIntegrationController.js,8,../services/completeERPIntegrationService,HIGH
BROKEN_REQUIRE,completeERPIntegrationController.js,9,../utils/logger,HIGH
BROKEN_REQUIRE,comprehensiveERPController.js,8,../services/comprehensiveERPService,HIGH
BROKEN_REQUIRE,comprehensiveERPController.js,9,../utils/logger,HIGH
BROKEN_REQUIRE,ecommerceAIController.js,14,../services/ecommerceAIService,HIGH
BROKEN_REQUIRE,ecommerceAIController.js,15,../utils/logger,HIGH
BROKEN_REQUIRE,ecommerceBusinessSalesController.js,12,../services/ecommerceBusinessSalesService,HIGH
BROKEN_REQUIRE,ecommerceBusinessSalesController.js,13,../utils/logger,HIGH
BROKEN_REQUIRE,ecommerceController.js,8,../services/ecommerceService,HIGH
BROKEN_REQUIRE,ecommerceController.js,9,../utils/logger,HIGH
BROKEN_REQUIRE,ecommerceController.js,10,../middleware/inputValidation,HIGH
BROKEN_REQUIRE,ecommerceController.js,92,../database/connection,HIGH
BROKEN_REQUIRE,ecommerceController.js,149,../database/connection,HIGH
BROKEN_REQUIRE,ecommerceController.js,226,../database/connection,HIGH
BROKEN_REQUIRE,ecommerceController.js,298,../database/connection,HIGH
BROKEN_REQUIRE,ecommerceERPController.js,11,../services/ecommerceERPService,HIGH
BROKEN_REQUIRE,ecommerceERPController.js,12,../utils/logger,HIGH
BROKEN_REQUIRE,ecommerceIntegrationController.js,12,../services/ecommerceIntegrationService,HIGH
BROKEN_REQUIRE,ecommerceIntegrationController.js,13,../utils/logger,HIGH
BROKEN_REQUIRE,ecommerceMarketingController.js,12,../services/ecommerceMarketingService,HIGH
BROKEN_REQUIRE,ecommerceMarketingController.js,13,../utils/logger,HIGH
BROKEN_REQUIRE,farmerTrainingController.js,6,../services/farmerTrainingService,HIGH
BROKEN_REQUIRE,farmerTrainingController.js,7,../utils/logger,HIGH
BROKEN_REQUIRE,hrController.js,8,../services/hrService,HIGH
BROKEN_REQUIRE,nervousSystemController.js,20,../core/nervousSystem,HIGH
BROKEN_REQUIRE,nervousSystemController.js,21,../utils/logger,HIGH
BROKEN_REQUIRE,nutrientValueSalesController.js,15,../services/nutrientValueSalesService,HIGH
BROKEN_REQUIRE,nutrientValueSalesController.js,16,../utils/logger,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,69,../utils/logger,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,70,../database/pool,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,246,../services/knowledgeGraphService,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,265,../services/enterpriseMemoryService,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,299,../services/decisionSupportService,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,345,../services/advancedAIService,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,387,../services/advancedAIService,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,405,../services/visionService,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,428,../services/ocrService,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,480,../services/catalogIntelligenceService,HIGH
BROKEN_REQUIRE,aiOrchestrator.js,550,../services/aiCopilotService,HIGH
BROKEN_REQUIRE,businessCell.js,54,../utils/logger,HIGH
BROKEN_REQUIRE,decisionEngine.js,29,../utils/statistics,HIGH
BROKEN_REQUIRE,decisionEngine.js,30,../utils/logger,HIGH
BROKEN_REQUIRE,effectors.js,41,../utils/logger,HIGH
BROKEN_REQUIRE,erpAgents.js,37,../utils/statistics,HIGH
BROKEN_REQUIRE,erpAgents.js,38,../utils/logger,HIGH
BROKEN_REQUIRE,nervousSystem.js,21,../utils/logger,HIGH
BROKEN_REQUIRE,nervousSystem.js,359,../database/pool,HIGH
BROKEN_REQUIRE,nervousSystem.js,616,../database/pool,HIGH
BROKEN_REQUIRE,nervousSystem.js,734,../services/orderProcessingService,HIGH
BROKEN_REQUIRE,outcomeResolver.js,46,../database/pool,HIGH
BROKEN_REQUIRE,outcomeResolver.js,47,../utils/logger,HIGH
BROKEN_REQUIRE,outcomeSink.js,25,../database/pool,HIGH
BROKEN_REQUIRE,outcomeSink.js,26,../utils/logger,HIGH
BROKEN_REQUIRE,reflexEngine.js,52,../utils/logger,HIGH
BROKEN_REQUIRE,signalBus.js,28,../utils/logger,HIGH
BROKEN_REQUIRE,withTransaction.js,32,../database/pool,HIGH
BROKEN_REQUIRE,withTransaction.js,33,../utils/logger,HIGH
BROKEN_REQUIRE,index.js,23,./UserProfile,HIGH
BROKEN_REQUIRE,index.js,24,./Address,HIGH
BROKEN_REQUIRE,index.js,25,./Category,HIGH
BROKEN_REQUIRE,index.js,26,./State,HIGH
BROKEN_REQUIRE,index.js,27,./OrderItem,HIGH
BROKEN_REQUIRE,index.js,28,./Cart,HIGH
BROKEN_REQUIRE,index.js,29,./Farmer,HIGH
BROKEN_REQUIRE,index.js,30,./FPO,HIGH
BROKEN_REQUIRE,index.js,31,./Loan,HIGH
BROKEN_REQUIRE,index.js,32,./Policy,HIGH
BROKEN_REQUIRE,index.js,33,./Shipment,HIGH
BROKEN_REQUIRE,index.js,34,./Contract,HIGH
BROKEN_REQUIRE,index.js,35,./Asset,HIGH
BROKEN_REQUIRE,Order.js,19,../connection,HIGH
BROKEN_REQUIRE,Product.js,19,../connection,HIGH
BROKEN_REQUIRE,User.js,19,../connection,HIGH
BROKEN_REQUIRE,connection.js,7,../utils/logger,HIGH
BROKEN_REQUIRE,connection.js,21,../index,HIGH
BROKEN_REQUIRE,migrate.js,9,../utils/logger,HIGH
BROKEN_REQUIRE,pool.js,31,../database/pool,HIGH
BROKEN_REQUIRE,seed.js,17,../utils/logger,HIGH
BROKEN_REQUIRE,loadMandiPrices.js,37,../services/marketDataService,HIGH
BROKEN_REQUIRE,loadMandiPrices.js,38,../utils/logger,HIGH
BROKEN_REQUIRE,admin.js,6,../utils/logger,HIGH
BROKEN_REQUIRE,auth.js,6,../services/authService,HIGH
BROKEN_REQUIRE,auth.js,7,../utils/logger,HIGH
BROKEN_REQUIRE,auth.js,62,../services/authService,HIGH
BROKEN_REQUIRE,compliance.js,2,../services/auditService,HIGH
BROKEN_REQUIRE,errorHandler.js,6,../utils/logger,HIGH
BROKEN_REQUIRE,inputValidation.js,8,../utils/logger,HIGH
BROKEN_REQUIRE,rateLimiter.js,7,../utils/logger,HIGH
BROKEN_REQUIRE,resolveFarmerId.js,20,../database/pool,HIGH
BROKEN_REQUIRE,service.js,6,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,7,../../services/aiService,HIGH
BROKEN_REQUIRE,service.js,8,../../database/pool,HIGH
BROKEN_REQUIRE,service.js,6,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,7,../../services/aiService,HIGH
BROKEN_REQUIRE,service.js,8,../../database/pool,HIGH
BROKEN_REQUIRE,service.js,6,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,7,../../services/aiService,HIGH
BROKEN_REQUIRE,service.js,8,../../database/pool,HIGH
BROKEN_REQUIRE,service.js,6,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,7,../../services/aiService,HIGH
BROKEN_REQUIRE,service.js,8,../../database/pool,HIGH
BROKEN_REQUIRE,service.js,6,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,7,../../services/aiService,HIGH
BROKEN_REQUIRE,service.js,8,../../database/pool,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,5,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,6,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,7,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,4,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,5,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,4,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,5,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,4,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,5,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,4,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,5,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,5,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,4,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,5,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,6,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,5,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,6,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,7,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,2,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,2,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,3,../../database/connection,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,4,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,5,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,4,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,5,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,4,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,5,../../core/signalBus,HIGH
BROKEN_REQUIRE,controller.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,routes.js,4,../../middleware/auth,HIGH
BROKEN_REQUIRE,service.js,3,../../utils/logger,HIGH
BROKEN_REQUIRE,service.js,4,../../database/connection,HIGH
BROKEN_REQUIRE,service.js,5,../../core/signalBus,HIGH
