"QualifiedTable","DefinitionCount","SourceFile","SourceRelativePath"
"public.shelf_life_predictions","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\migrations\1000_energy_food_erp_modules.sql","backend\migrations\1000_energy_food_erp_modules.sql"
"public.shelf_life_predictions","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\shelf_life_schema.sql","backend\src\database\shelf_life_schema.sql"
"public.shelf_life_predictions","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\043_shelf_life_schema.sql","backend\src\database\migrations\043_shelf_life_schema.sql"
"public.fixed_assets","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\migrations\1000_energy_food_erp_modules.sql","backend\migrations\1000_energy_food_erp_modules.sql"
"public.fixed_assets","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\996_enterprise_foundation.sql","backend\src\database\migrations\996_enterprise_foundation.sql"
"public.projects","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\migrations\1000_energy_food_erp_modules.sql","backend\migrations\1000_energy_food_erp_modules.sql"
"public.projects","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\9996_project_systems_schema.sql","backend\src\database\migrations\9996_project_systems_schema.sql"
"public.copilot_sessions","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ai_copilot_schema.sql","backend\src\database\ai_copilot_schema.sql"
"public.copilot_sessions","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\016_ai_copilot_schema.sql","backend\src\database\migrations\016_ai_copilot_schema.sql"
"public.copilot_messages","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ai_copilot_schema.sql","backend\src\database\ai_copilot_schema.sql"
"public.copilot_messages","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\016_ai_copilot_schema.sql","backend\src\database\migrations\016_ai_copilot_schema.sql"
"public.finance_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ai_copilot_schema.sql","backend\src\database\ai_copilot_schema.sql"
"public.finance_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\016_ai_copilot_schema.sql","backend\src\database\migrations\016_ai_copilot_schema.sql"
"public.logistics_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ai_copilot_schema.sql","backend\src\database\ai_copilot_schema.sql"
"public.logistics_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\016_ai_copilot_schema.sql","backend\src\database\migrations\016_ai_copilot_schema.sql"
"public.warehouse_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ai_copilot_schema.sql","backend\src\database\ai_copilot_schema.sql"
"public.warehouse_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\016_ai_copilot_schema.sql","backend\src\database\migrations\016_ai_copilot_schema.sql"
"public.insurance_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ai_copilot_schema.sql","backend\src\database\ai_copilot_schema.sql"
"public.insurance_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\016_ai_copilot_schema.sql","backend\src\database\migrations\016_ai_copilot_schema.sql"
"public.nutrition_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ai_copilot_schema.sql","backend\src\database\ai_copilot_schema.sql"
"public.nutrition_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\016_ai_copilot_schema.sql","backend\src\database\migrations\016_ai_copilot_schema.sql"
"public.marketplace_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ai_copilot_schema.sql","backend\src\database\ai_copilot_schema.sql"
"public.marketplace_copilot_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\016_ai_copilot_schema.sql","backend\src\database\migrations\016_ai_copilot_schema.sql"
"public.ar_vr_experiences","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public.ar_vr_experiences","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\015_advanced_features.sql","backend\src\database\migrations\015_advanced_features.sql"
"public.ar_vr_experiences","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public.ar_vr_assets","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public.ar_vr_assets","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public.experience_assets","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public.experience_assets","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public.interaction_points","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public.interaction_points","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public.ar_vr_sessions","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public.ar_vr_sessions","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public.ar_vr_analytics","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public.ar_vr_analytics","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public.species_database","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\biodiversity_schema.sql","backend\src\database\biodiversity_schema.sql"
"public.species_database","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\018_biodiversity_schema.sql","backend\src\database\migrations\018_biodiversity_schema.sql"
"public.native_crops_database","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\biodiversity_schema.sql","backend\src\database\biodiversity_schema.sql"
"public.native_crops_database","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\018_biodiversity_schema.sql","backend\src\database\migrations\018_biodiversity_schema.sql"
"public.traditional_varieties_database","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\biodiversity_schema.sql","backend\src\database\biodiversity_schema.sql"
"public.traditional_varieties_database","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\018_biodiversity_schema.sql","backend\src\database\migrations\018_biodiversity_schema.sql"
