path,category,bytes,issue_count,highest_severity,issue_codes
.claude/worktrees/eloquent-galileo-bc5c5f/.github/workflows/ci.yml,infra_deployment,19525,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/backend/.github/workflows/ci-cd.yml,infra_deployment,6141,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/backend/docker-compose.yml,infra_deployment,4956,1,medium,localhost_reference
.claude/worktrees/eloquent-galileo-bc5c5f/backend/Dockerfile,infra_deployment,1056,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/docker-compose-postgres.yml,infra_deployment,1193,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/docker-compose.database.yml,infra_deployment,1267,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/docker-compose.dev.yml,infra_deployment,1186,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/docker-compose.full.yml,infra_deployment,2549,1,medium,localhost_reference
.claude/worktrees/eloquent-galileo-bc5c5f/docker-compose.yml,infra_deployment,4261,1,medium,localhost_reference
.claude/worktrees/eloquent-galileo-bc5c5f/Dockerfile,infra_deployment,1354,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/docs/openapi-stubs-farmers.yaml,infra_deployment,1575,1,medium,placeholder_or_todo
.claude/worktrees/eloquent-galileo-bc5c5f/docs/openapi-stubs-marketplace.yaml,infra_deployment,1439,1,medium,placeholder_or_todo
.claude/worktrees/eloquent-galileo-bc5c5f/frontend/Dockerfile,infra_deployment,1610,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/infra/k8s/mlflow-configmap.yaml,infra_deployment,185,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/infra/k8s/mlflow-deployment.yaml,infra_deployment,685,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/infra/k8s/mlflow-namespace.yaml,infra_deployment,60,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/infra/k8s/mlflow-service.yaml,infra_deployment,208,0,clean,
.claude/worktrees/eloquent-galileo-bc5c5f/render.yaml,infra_deployment,1995,1,low,console_logging
.claude/worktrees/gracious-cerf-f4774a/.github/workflows/ci.yml,infra_deployment,19525,0,clean,
.claude/worktrees/gracious-cerf-f4774a/backend/.github/workflows/ci-cd.yml,infra_deployment,6141,0,clean,
.claude/worktrees/gracious-cerf-f4774a/backend/docker-compose.yml,infra_deployment,4956,1,medium,localhost_reference
.claude/worktrees/gracious-cerf-f4774a/backend/Dockerfile,infra_deployment,1056,0,clean,
.claude/worktrees/gracious-cerf-f4774a/docker-compose-postgres.yml,infra_deployment,1193,0,clean,
.claude/worktrees/gracious-cerf-f4774a/docker-compose.database.yml,infra_deployment,1267,0,clean,
.claude/worktrees/gracious-cerf-f4774a/docker-compose.dev.yml,infra_deployment,1186,0,clean,
.claude/worktrees/gracious-cerf-f4774a/docker-compose.full.yml,infra_deployment,2549,1,medium,localhost_reference
.claude/worktrees/gracious-cerf-f4774a/docker-compose.yml,infra_deployment,4261,1,medium,localhost_reference
.claude/worktrees/gracious-cerf-f4774a/Dockerfile,infra_deployment,1354,0,clean,
.claude/worktrees/gracious-cerf-f4774a/docs/openapi-stubs-farmers.yaml,infra_deployment,1575,1,medium,placeholder_or_todo
.claude/worktrees/gracious-cerf-f4774a/docs/openapi-stubs-marketplace.yaml,infra_deployment,1439,1,medium,placeholder_or_todo
.claude/worktrees/gracious-cerf-f4774a/frontend/Dockerfile,infra_deployment,1610,0,clean,
.claude/worktrees/gracious-cerf-f4774a/infra/k8s/mlflow-configmap.yaml,infra_deployment,185,0,clean,
.claude/worktrees/gracious-cerf-f4774a/infra/k8s/mlflow-deployment.yaml,infra_deployment,685,0,clean,
.claude/worktrees/gracious-cerf-f4774a/infra/k8s/mlflow-namespace.yaml,infra_deployment,60,0,clean,
.claude/worktrees/gracious-cerf-f4774a/infra/k8s/mlflow-service.yaml,infra_deployment,208,0,clean,
.claude/worktrees/gracious-cerf-f4774a/render.yaml,infra_deployment,1995,1,low,console_logging
.claude/worktrees/infallible-keller-4bb4ef/.github/workflows/ci.yml,infra_deployment,19525,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/backend/.github/workflows/ci-cd.yml,infra_deployment,6141,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/backend/docker-compose.yml,infra_deployment,4956,1,medium,localhost_reference
.claude/worktrees/infallible-keller-4bb4ef/backend/Dockerfile,infra_deployment,1056,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/docker-compose-postgres.yml,infra_deployment,1193,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/docker-compose.database.yml,infra_deployment,1267,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/docker-compose.dev.yml,infra_deployment,1186,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/docker-compose.full.yml,infra_deployment,2549,1,medium,localhost_reference
.claude/worktrees/infallible-keller-4bb4ef/docker-compose.yml,infra_deployment,4261,1,medium,localhost_reference
.claude/worktrees/infallible-keller-4bb4ef/Dockerfile,infra_deployment,1354,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/docs/openapi-stubs-farmers.yaml,infra_deployment,1575,1,medium,placeholder_or_todo
.claude/worktrees/infallible-keller-4bb4ef/docs/openapi-stubs-marketplace.yaml,infra_deployment,1439,1,medium,placeholder_or_todo
.claude/worktrees/infallible-keller-4bb4ef/frontend/Dockerfile,infra_deployment,1610,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/infra/k8s/mlflow-configmap.yaml,infra_deployment,185,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/infra/k8s/mlflow-deployment.yaml,infra_deployment,685,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/infra/k8s/mlflow-namespace.yaml,infra_deployment,60,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/infra/k8s/mlflow-service.yaml,infra_deployment,208,0,clean,
.claude/worktrees/infallible-keller-4bb4ef/render.yaml,infra_deployment,1995,1,low,console_logging
.claude/worktrees/nice-chatelet-4d6ee4/.github/workflows/ci.yml,infra_deployment,19525,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/backend/.github/workflows/ci-cd.yml,infra_deployment,6141,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/backend/docker-compose.yml,infra_deployment,4956,1,medium,localhost_reference
.claude/worktrees/nice-chatelet-4d6ee4/backend/Dockerfile,infra_deployment,1056,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/docker-compose-postgres.yml,infra_deployment,1193,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/docker-compose.database.yml,infra_deployment,1267,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/docker-compose.dev.yml,infra_deployment,1186,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/docker-compose.full.yml,infra_deployment,2549,1,medium,localhost_reference
.claude/worktrees/nice-chatelet-4d6ee4/docker-compose.yml,infra_deployment,4261,1,medium,localhost_reference
.claude/worktrees/nice-chatelet-4d6ee4/Dockerfile,infra_deployment,1354,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/docs/openapi-stubs-farmers.yaml,infra_deployment,1575,1,medium,placeholder_or_todo
.claude/worktrees/nice-chatelet-4d6ee4/docs/openapi-stubs-marketplace.yaml,infra_deployment,1439,1,medium,placeholder_or_todo
.claude/worktrees/nice-chatelet-4d6ee4/frontend/Dockerfile,infra_deployment,1610,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/infra/k8s/mlflow-configmap.yaml,infra_deployment,185,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/infra/k8s/mlflow-deployment.yaml,infra_deployment,685,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/infra/k8s/mlflow-namespace.yaml,infra_deployment,60,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/infra/k8s/mlflow-service.yaml,infra_deployment,208,0,clean,
.claude/worktrees/nice-chatelet-4d6ee4/render.yaml,infra_deployment,1995,1,low,console_logging
.devin/environment.yaml,infra_deployment,7558,0,clean,
.github/CODEOWNERS,infra_deployment,694,0,clean,
.github/copilot-instructions.md,infra_deployment,4910,0,clean,
.github/ISSUE_TEMPLATE/bug_report.md,infra_deployment,460,0,clean,
.github/ISSUE_TEMPLATE/feature_request.md,infra_deployment,403,0,clean,
.github/pull_request_template.md,infra_deployment,720,0,clean,
.github/workflows/ci.yml,infra_deployment,5310,1,low,console_logging
.github/workflows/claude-ai-integration.yml,infra_deployment,5967,1,low,console_logging
.github/workflows/deploy.yml,infra_deployment,5639,1,low,console_logging
backend/docker-compose.yml,infra_deployment,5122,1,medium,localhost_reference
backend/Dockerfile,infra_deployment,2614,0,clean,
backend/src/cache/redis.js,backend_runtime,6154,1,low,missing_adjacent_test
backend/src/config/productionConfig.js,backend_runtime,1472,2,medium,placeholder_or_todo;missing_adjacent_test
backend/src/controllers/aiBackboneController.js,backend_runtime,2947,1,low,missing_adjacent_test
backend/src/controllers/bulkOrderController.js,backend_runtime,6428,1,low,missing_adjacent_test
backend/src/controllers/completeAIIntegrationController.js,backend_runtime,13533,1,low,missing_adjacent_test
backend/src/controllers/completeERPIntegrationController.js,backend_runtime,12625,1,low,missing_adjacent_test
backend/src/controllers/comprehensiveERPController.js,backend_runtime,23620,1,low,missing_adjacent_test
backend/src/controllers/cropValueResearchController.js,backend_runtime,1740,1,low,missing_adjacent_test
backend/src/controllers/defenseFitnessPrepController.js,backend_runtime,2077,1,low,missing_adjacent_test
