path,extension,size_bytes,domain,classification
"./.claude/agents/api-tester.md",md,522,other,documentation
"./.claude/agents/architect-reviewer.md",md,517,other,documentation
"./.claude/agents/browser-qa-agent.md",md,477,other,documentation
"./.claude/agents/bug-auditor.md",md,527,other,documentation
"./.claude/agents/code-auditor.md",md,533,other,documentation
"./.claude/agents/code-fixer.md",md,476,other,documentation
"./.claude/agents/console-monitor.md",md,494,other,documentation
"./.claude/agents/db-auditor.md",md,519,other,documentation
"./.claude/agents/dep-auditor.md",md,522,other,documentation
"./.claude/agents/deploy-checker.md",md,484,other,documentation
"./.claude/agents/doc-auditor.md",md,519,other,documentation
"./.claude/agents/env-validator.md",md,486,other,documentation
"./.claude/agents/fix-planner.md",md,530,other,documentation
"./.claude/agents/fullstack-qa-orchestrator.md",md,486,other,documentation
"./.claude/agents/infra-auditor.md",md,523,other,documentation
"./.claude/agents/perf-auditor.md",md,530,other,documentation
"./.claude/agents/pr-writer.md",md,480,other,documentation
"./.claude/agents/security-auditor.md",md,539,other,documentation
"./.claude/agents/seed-generator.md",md,487,other,documentation
"./.claude/agents/seo-auditor.md",md,518,other,documentation
"./.claude/agents/test-runner.md",md,478,other,documentation
"./.claude/agents/test-writer.md",md,477,other,documentation
"./.claude/agents/ui-auditor.md",md,528,other,documentation
"./.claude/agents/visual-diff.md",md,479,other,documentation
"./.claude/CLAUDE.md",md,4392,other,documentation
"./.claude/settings.local.json",json,19400,other,config
"./.claude/worktrees/busy-borg-574126/.claude/agents/api-tester.md",md,548,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/architect-reviewer.md",md,542,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/browser-qa-agent.md",md,502,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/bug-auditor.md",md,553,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/code-auditor.md",md,559,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/code-fixer.md",md,501,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/console-monitor.md",md,519,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/db-auditor.md",md,545,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/dep-auditor.md",md,548,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/deploy-checker.md",md,509,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/doc-auditor.md",md,545,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/env-validator.md",md,511,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/fix-planner.md",md,556,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/fullstack-qa-orchestrator.md",md,511,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/infra-auditor.md",md,549,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/perf-auditor.md",md,556,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/pr-writer.md",md,505,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/security-auditor.md",md,565,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/seed-generator.md",md,512,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/seo-auditor.md",md,544,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/test-runner.md",md,503,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/test-writer.md",md,502,other,documentation
"./.claude/worktrees/busy-borg-574126/.claude/agents/ui-auditor.md",md,554,other,documentation
